game_id,name,type,developer,date,price,memory,cpu,curation_num,review_num
670480,- Occult Raise -,"冒险, 休闲, 独立, 角色扮演, 策略",Arcane Raise ,2017年8月8日,25,2 GB,1.3 Ghz Pentium 4 or higher,6,12
428690,Youtubers Life,"独立, 模拟, 策略",U-Play Online ,2016年5月18日,78,2 GB,Intel i3 or equivalent,167,7438
227200,Waking Mars,"动作, 冒险, 独立",Tiger Style ,2012年12月13日,36,,,52,525
506260,Cladun Returns: This Is Sengoku! / クラシックダンジョン 戦国,"动作, 角色扮演","Nippon Ichi Software, Inc. ",2017年6月6日,112,2 GB,Core2 Duo 2.6 GHz,4,30
508740,Wheels of Aurelia,"冒险, 独立",Santa Ragione ,2016年9月20日,36,2 GB,2.0GHz CPU,12,50
306760,Obduction,"冒险, 独立",Cyan Inc. ,2016年8月24日,88,8 GB,CPU Intel i5-2500 equivalent or better,39,1390
287390,Metro: Last Light Redux,动作,4A Games ,2014年8月27日,68,2 GB,Dual Core CPU (2.2+ GHz Dual Core CPU or better),379,15252
614860,XAOC,"大型多人在线, 角色扮演, 抢先体验",WindThunder Studio ,2017年8月3日,3,4 GB,Intel(R) Core(TM)2 Duo CPU E7200 or Athlon 64 Dual Core 5400+,3,134
343180,Top Trumps Turbo,休闲,"Good Day Games, NYX Digital ",2015年3月20日,15,2 GB,Intel? Core?2 Duo 2Ghz or equivalent,11,0
807890,Geek Fighter,"休闲, 独立",Wonderbox Games ,2018年3月25日,22,1 GB,2GHz Dual-core CPU,4,0
643200,Keep in Mind: Remastered,"冒险, 独立","Little Moth Games, Akupara Games ",2018年3月8日,11,2 GB,2.0 GHz,16,19
3720,Evil Genius,策略,Elixir Studios ,2004年9月28日,36,,,92,1640
721390,Pipe Push Paradise,独立,Corey Martin ,2018年1月18日,32,2 GB,1.8 GHz,10,11
351710,Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2 / 超次次元遊戲 戰機少女 重生2,"角色扮演, 策略","Idea Factory, Compile Heart, Felistella ",2015年5月29日,88,4 GB,Core2Duo 2.66 GHz,152,1876
593700,Tower Fortress,"动作, 冒险, 独立","Keybol, Nitrome Limited, Mike Studios ",2017年11月20日,22,512 MB,1.2GHz processor,9,32
38740,EDGE,"动作, 独立",Two Tribes ,2011年8月11日,28,,,54,1456
553210,"Warhammer 40,000: Space Wolf","动作, 策略",HeroCraft ,2017年9月21日,79,2 GB,2.4 GHz Dual Core,22,512
221680,Rocksmith? 2014 Edition - Remastered,"休闲, 模拟",Ubisoft - San Francisco ,2016年10月4日,112,,,125,3910
629430,The Last Birdling,独立,InvertMouse ,2017年8月31日,25,2 GB,1.2 GHz Pentium 4,10,26
676580,NEO Impossible Bosses,"动作, 独立, 模拟, 策略",x0to1 ,2018年2月13日,47,2 GB,Any 2.0GHz Intel/AMD Dual Core,3,0
589770,Green Elephant 2D,"动作, 冒险, 独立, 抢先体验",4Fufelz ,2017年4月20日,11,512 MB,Intel Core 2 Duo or better,6,189
792350,Joy Climb,"动作, 独立",SpeedLittleFox ,2018年3月2日,6,512 MB,1.2 GHz,6,23
11450,Overlord?,角色扮演,"Triumph Studios, Virtual Programming ",2007年6月26日,21,,,79,2356
736930,Delicious - Moms vs Dads,"冒险, 休闲, 独立",GameHouse ,2017年12月12日,43,512 MB,Intel,1,20
572410,Steel Division: Normandy 44,"动作, 模拟, 策略",Eugen Systems ,2017年5月23日,112,3 GB,Intel Core i3-2100 (3.1 GHz) or equivalent,38,2792
418340,RWBY: Grimm Eclipse,"动作, 冒险, 独立",Rooster Teeth Games ,2016年7月5日,68,4 GB,"Intel Core i5-2500K (4 * 3300) or equivalent, AMD FX-8320 (8 * 3500) or equivalent",102,8405
20900,The Witcher: Enhanced Edition Director's Cut,"动作, 角色扮演",CD PROJEKT RED ,2008年9月16日,36,,,315,23555
2100,Dark Messiah of Might & Magic,"动作, 角色扮演",Arkane Studios ,2006年10月25日,20,,,135,2657
308040,Back to Bed,"动作, 休闲, 独立",Bedtime Digital Games ,2014年8月6日,25,2 GB,Intel Core 2 Duo 1.8Ghz or equivalent (lower might work but is untested),64,185
796620,Girl X Mushrooms(少女X蘑菇),"动作, 冒险, 独立, 角色扮演",shabi ,2018年3月13日,9,2 GB,Core i3,7,48
804610,MONMUSU * FIGHT!,"动作, 休闲, 独立",StudioS ,2017年4月22日,32,32 MB,Pentium III 450MHz,4,0
642580,Cally's Caves 4,动作,VDO Games ,2018年1月9日,37,1 GB,Intel Core 2 Duo,13,16
466420,Warriors' Wrath,"动作, 冒险, 休闲, 独立, 角色扮演",Storm Sharks Production ,2016年5月7日,15,4 GB,Intel duo cores or AMD equivalent,3,21
205650,The Testament of Sherlock Holmes,冒险,Frogwares ,2012年9月20日,68,,,30,1251
562470,天使帝國四《Empire of Angels IV》,"冒险, 策略",SOFTSTAR ENTERTAINMENT INC. ,2016年12月15日,80,2 GB,Intel Core Duo2 3.0Ghz 或 AMD等同性能处理器(含以上),10,141
10270,Disciples III: Reincarnation,"角色扮演, 策略",Akella ,2014年2月14日,36,1 GB,Intel Pentium 4 2.0 GHz,6,438
363520,Goliath,"动作, 冒险, 独立, 角色扮演",Whalebox Studio ,2016年5月12日,40,4 GB,"Intel? Core? 2 Duo, AMD Athlon? x2 6400+, or equal at 1.6GHz or better",16,163
589360,Ni no Kuni? II: Revenant Kingdom,"冒险, 角色扮演",Level-5 ,2018年3月23日,428,4 GB,Intel Core i5-4460 / AMD FX-6300,47,1048
610840,JASEM: Just Another Shooter with Electronic Music,"动作, 独立",Stas Shostak ,2017年10月19日,28,2 GB,Intel Core i5,11,33
255320,Edna & Harvey: The Breakout,"冒险, 独立",Daedalic Entertainment ,2013年10月25日,59,1 GB,Pentium 1 GHz or equal,13,614
517330,Stellar Interface,"动作, 休闲, 独立",ImaginationOverflow ,2016年11月21日,60,2 GB,Dual Core CPU 2 GHz,14,31
823650,Zombow,"冒险, 休闲, 独立",CasGames ,2018年3月28日,11,512 MB,DualCore,2,0
215160,The Book of Unwritten Tales,冒险,KING Art ,2012年7月31日,68,,,66,1000
562410,Panty Party,"动作, 冒险, 休闲, 独立, 模拟",Animu Game ,2017年1月24日,56,4 GB,3.4 GHz Dual Core Processor,25,501
286040,Dead Effect,"动作, 独立","BadFly Interactive, a.s. ",2014年12月17日,22,2 GB,2.4 Ghz Dual Core CPU,62,2139
421020,DiRT 4,"竞速, 模拟, 体育",Codemasters ,2017年6月9日,158,4 GB,AMD FX Series or Intel Core i3 Series,51,2308
727640,ШП - ShP,"独立, 模拟",Xitilon ,2017年10月31日,6,256 MB,Pentium II @ 233MHz with MMX? Technology,15,72
666010,Refract,"独立, 策略",Renaissance Game Studio ,2017年3月28日,6,1 GB,Intel Core i3 2.00 GHz,0,15
410900,Forts,"动作, 策略",EarthWork Games ,2017年4月19日,48,4 GB,Pentium Dual-Core 2.7GHz,41,1074
714060,Alien Mayhem,"动作, 冒险, 独立, 抢先体验",Supa Serious ,2017年12月20日,37,2 GB,2.0 GHz Dual Core Processor,1,0
349220,The Black Watchmen,"冒险, 独立, 大型多人在线, 角色扮演",Alice & Smith ,2015年6月25日,37,2 GB,,27,389
549860,One Night Stand,"休闲, 独立, 模拟",Kinmoku ,2016年11月7日,18,4 GB,Intel Celeron CPU 1000M 1.80GHz,23,313
668210,Super Fancy Pants Adventure,"动作, 冒险, 休闲, 独立",Borne Games ,2017年9月20日,36,2048 MB,2.5GHz,16,323
666250,Equalizer,"动作, 冒险, 休闲, 独立, 体育",Sergey Shushunov ,2017年8月11日,28,2 GB,Core i3,1,15
689680,Memories,冒险,Revoked Studio ,2017年11月18日,21,1 GB,Core 2 或更高,0,0
692790,春风 | Spring Breeze,"冒险, 独立",木子工坊 ,2018年1月19日,6,1024 MB,Intel Core 2 Due E6300,0,35
211010,Alien Shooter 2 Conscription,"动作, 独立, 角色扮演",Sigma Team Inc. ,2012年5月18日,36,,,10,43
259680,Tales of Maj'Eyal,"冒险, 独立, 角色扮演",Netcore Games ,2012年12月31日,28,512 MB,,91,1968
481110,The Bunker,"冒险, 独立","Splendy Interactive, Wales Interactive ",2016年9月20日,43,2 GB,Core i3 / AMD A6 2.4Ghz,23,336
255390,Max: The Curse of Brotherhood,冒险,Press Play ,2014年5月21日,48,2 GB,Dual-Core 1.6 ghz / AMD Dual-Core Athlon 2.0ghz,31,876
721470,Snake Treasure Chest,"休闲, 独立",Rag?p Hatuno?lu ,2017年10月10日,6,1 GB,2.50GHz or faster processor,0,0
24010,Train Simulator,模拟,Dovetail Games ,2009年7月12日,80,,,265,8296
252350,Double Dragon: Neon,"动作, 独立","WayForward, Abstraction Games ",2014年2月6日,36,1 GB,"AMD Athlon 64 X2 Dual Core Processor 4600+, 2.4GHz / Intel Pentium D 805 2.66GHz or higher",88,1359
404270,All My Gods,"冒险, 休闲, 模拟, 策略",Realore ,2015年10月13日,18,256 MB,Pentium III 800MHz,1,15
557890,Sunset's Ashes,"休闲, 免费游玩, 独立",Fifth One ,2016年9月6日,6,1 GB,1.0 GHz,4,0
222940,THE KING OF FIGHTERS XIII STEAM EDITION,动作,SNK CORPORATION ,2013年9月13日,68,1 GB,Intel Pentium4 2.0 GHz and up,113,3147
350640,Sherlock Holmes: The Devil's Daughter,"动作, 冒险",Frogwares ,2016年6月10日,185,6 GB,INTEL Core i3 3.6GHz / AMD FX Series 4.2GHz Quad-Core,29,1441
662640,Wizhood,"冒险, 独立","Vuthax, Rakarnov Studios ",2017年7月28日,11,512 MB,2 GHz Dual-Core 32-bit CPU,2,13
393430,Ice Lakes,"独立, 模拟, 体育",Iceflake Studios ,2016年4月19日,48,2 GB,2.0 GHz,9,626
249590,Teslagrad,独立,Rain Games ,2013年12月13日,36,2 GB,Dual Core 2GHz,82,955
397270,A Kiss For The Petals - Remembering How We Met,冒险,St. Michael's Girls School ,2015年9月25日,31,512 MB,Pentium III 800 MHz,55,681
639470,Original Journey,"动作, 冒险, 独立, 角色扮演",Bonfire Entertainment ,2017年8月16日,38,1 GB,Intel Core 2 Duo or equivalent,32,50
375820,Human Resource Machine,"休闲, 独立",Tomorrow Corporation ,2015年10月15日,36,1 GB,1.5Ghz CPU,66,1115
230190,War for the Overworld,"独立, 策略",Brightrock Games ,2015年4月2日,88,4GB,Dual Core CPU @ 2.5GHz,62,3351
242550,Rayman? Legends,"动作, 冒险",,2013年8月29日,88,2 GB,Intel Pentium IV @ 3.0 GHz or AMD Athlon64 3000 + @ 1.8 GHz,178,2545
61500,Age of Wonders,"角色扮演, 策略",Triumph Studios ,2010年10月,25,,,20,303
712100,Total War Saga: Thrones of Britannia,"动作, 策略",Creative Assembly ,2018年5月2日,178,5 GB,Intel? Core? 2 Duo 3.0Ghz,29,1192
404460,Melter Man,"动作, 冒险, 休闲, 独立",Husky Swim Team ,2015年9月18日,15,4 GB,2.00 GHz,1,0
220200,Kerbal Space Program,"独立, 模拟",Squad ,2015年4月27日,112,,,1380,39410
821790,Who Am I: The Tale of Dorothy,"独立, 模拟, 策略",Onaemo Studio ,2018年4月16日,15,,,3,32
699760,Triple Otakus Puzzle,"休闲, 独立","Tero Lunkka, BlackThug ",2017年9月4日,6,4 GB,i3,0,19
736430,Clicker bAdventure,"动作, 冒险, 独立",Luminark ,2017年12月27日,22,4 GB,Intel Core i5 or equivalent,6,0
311010,The Way,"动作, 冒险, 独立",Puzzling Dream ,2016年5月20日,48,2048 MB,Intel Core 2 Duo or AMD equivalent,17,316
217200,Worms Armageddon,策略,Team17 Digital Ltd ,1999年5月31日,48,,,114,2134
742230,A Day For A Kitten,"独立, 角色扮演, 模拟",橘喵喵 ,2017年11月29日,6,2 GB,Dual Core,9,17
400250,Heaven Island - VR MMO,"冒险, 独立, 大型多人在线","Fabio Ferrara, Giulia Airoldi ",2015年12月1日,6,2 GB,Intel Dual-Core 2.4 GHz,31,378
389310,Tic-Toc-Tower,"动作, 冒险, 独立",Sneaky Mammoth ,2015年9月28日,15,2 GB,"Duo core, 1.87Ghz",9,24
712840,King Exit,"冒险, 独立, 角色扮演",深爪貴族 ,2017年10月19日,5,1 GB,1.2 GHz,9,1253
548810,Operation Babel: New Tokyo Legacy / 東京新世録 オペレーションバベル,角色扮演,"MAGES. Inc., 5pb., Experience Inc. ",2017年5月16日,112,2 GB,Core i3-2100 3.10 GHz,8,22
445190,Expeditions: Viking,"独立, 角色扮演, 策略",Logic Artists ,2017年4月27日,88,4 GB,Intel Core2 Quad Q9400 2.66 GHz,44,1251
537100,Shuffle!,"冒险, 休闲, 模拟",Navel ,2016年11月22日,68,1 GB,,29,72
828580,NEKO-NIN exHeart 2,"休闲, 独立",Whirlpool ,2018年4月27日,37,1 GB,1.2 GHz Pentium 4,3,43
686230,OutSplit,"休闲, 独立",Riviysky ,2017年8月22日,6,512 MB,,2,14
726810,Void Cube Runner,"动作, 休闲, 独立",Razard ,2018年4月19日,15,1 GB,Intel Pentium J4205 @ 1.50GHz,13,0
627270,Injustice? 2,动作,"NetherRealm Studios, QLOC ",2017年11月30日,138,4 GB,"Intel Core i5-750, 2.66 GHz / AMD Phenom II X4 965, 3.4 GHz or AMD Ryzen? 3 1200, 3.1 GHz",60,1462
476360,Strike Vector EX,"动作, 独立",Ragequit Corporation ,2017年7月19日,40,4 GB,"X64 Dual Core CPU, 2+ GHz",7,445
298610,Ylands,"冒险, 休闲, 抢先体验",Bohemia Interactive ,2017年12月6日,60,4 GB,Intel Core i3-4160 @ 3.60GHz processor,32,1932
480900,Slap Village: Reality Slap,"冒险, 独立",MonkeyToons ,2016年7月21日,36,3 GB,Intel Pentium N3540 @2.1 Ghz / AMD equivalent,4,63
411830,SENRAN KAGURA SHINOVI VERSUS,动作,Tamsoft ,2016年6月1日,88,6 GB,Intel Core i3-530 @ 2.93 GHz / AMD Phenom II X4 810 @ 2.60 GHz,83,2560
650760,侠客风云传前传(Tale of Wuxia:The Pre-Sequel),"冒险, 角色扮演, 策略",Heluo Studio ,2017年8月14日,80,4 GB,Intel Core 2 Duo E6700 或 AMD同性能处理器,9,728
411120,Galaxy Admirals,策略,Jetdogs Studios ,2017年1月17日,11,512 MB,1.6 GHz,3,101
290020,LogicBots,"独立, 模拟",Incandescent Games ,2017年2月8日,68,2 GB,SSE2 instruction set support,7,103
532110,Rusty Lake: Roots,"冒险, 独立",Rusty Lake ,2016年10月20日,15,1 GB,1.8 Ghz Processor,14,1332
237970,Memento Mori 2,"冒险, 独立",Centauri Production ,2014年5月13日,139,1 GB,Intel Core 2 Duo 2Ghz or dual core AMD XP or better,20,57
233270,Far Cry 3 - Blood Dragon,"动作, 冒险",Ubisoft Montreal ,2013年5月1日,68,,,414,8980
243970,"Invisible, Inc.","动作, 独立, 策略",Klei Entertainment ,2015年5月12日,68,2 GB,2.0+ GHz Dual Core or better,180,2958
301190,Frederic: Resurrection of Music,"动作, 休闲, 独立",Forever Entertainment S. A. ,2014年5月16日,15,2 GB,Dual core from Intel or AMD at 2.8 GHz,19,608
20920,The Witcher 2: Assassins of Kings Enhanced Edition,角色扮演,CD PROJEKT RED ,2011年5月17日,68,,Intel 2.2 GHz Dual-Core 或者 AMD 2.5 GHz Dual-Core,506,30863
370150,LOOP: A Tranquil Puzzle Game,"休闲, 独立",John Cullen ,2015年5月22日,21,,,8,79
469790,Linelight,"动作, 冒险, 休闲, 独立",My Dog Zorro ,2017年1月30日,36,2 GB,,17,291
384190,ABZU,"动作, 冒险, 休闲, 独立, 模拟",Giant Squid ,2016年8月2日,68,4 GB,3.0GHz CPU Dual Core,194,11645
18700,And Yet It Moves,"动作, 独立",Broken Rules ,2009年4月2日,36,,,39,200
689710,Hop Step Sing! Kimamani☆Summer vacation (HQ Edition),休闲,"Kodansha, Polygon Pictures Inc., Lantis Co., Ltd. ",2017年8月17日,28,4 MB,"Intel? i5-4590, AMD FX 8350 equivalent or better",2,42
418670,Pankapu,"动作, 冒险, 独立",Too Kind Studio ,2016年9月21日,40,1 GB,Dual Core CPU,13,140
404200,WARTILE,"独立, 角色扮演, 策略",Playwood Project ,2018年2月8日,68,4 GB,Intel dual Core i5 or better,34,287
465240,Serious Sam VR: The Last Hope,"动作, 独立",Croteam VR ,2017年9月20日,112,6 GB,Intel Core i5 - 4590 equivalent,27,791
466240,Deceit,"动作, 免费游玩, 独立",Automaton ,2017年3月3日,21,4 GB,Core 2 Duo E7600 / Athlon II X3,58,14737
299420,CubeGun,"动作, 免费游玩, 独立, 抢先体验",candyrocketstudio ,2014年6月25日,0,1 GB,1.6 Ghz,8,295
727590,Stickman - Killer of Apples,"动作, 休闲, 独立",Sergej110 ,2017年10月21日,11,1 GB,1.6 GHz,7,44
707010,Will To Live Online,"动作, 独立, 大型多人在线, 角色扮演, 抢先体验",AlphaSoft LLC ,2018年4月5日,50,8 GB,Intel Core i3 3100 MHz,12,495
659190,"Sorry, James","休闲, 独立",Konstructors Entertainment ,2017年11月10日,15,1 GB,2.0Ghz+,14,231
690850,Magibot,"动作, 冒险, 独立, 策略",Studio Baikin ,2017年12月18日,30,2 GB,Dual Core 2GHz,1,0
268540,The Whispered World Special Edition,"冒险, 独立",Daedalic Entertainment ,2014年5月6日,79,1 GB,2.5 GHz (Single Core) or 2 GHz (Dual Core),15,654
445670,The Stargazers,"冒险, 休闲, 独立",Lupiesoft ,2016年11月4日,42,512 MB,1Ghz,10,10
496290,Deep Dark Dungeon,"动作, 独立, 角色扮演, 抢先体验",GlassCats ,2017年5月5日,36,4 GB,Intel Pentium Dual-Core 2.0 GHz or equivalent,4,17
492430,Alteric,"冒险, 独立",goonswarm ,2016年7月13日,18,512 MB,CPU 1700 MHz,4,75
578250,Invention,"动作, 独立",Falcoware ,2017年1月11日,6,512 MB,2.0+ GHz,9,191
252270,Zombie Tycoon 2: Brainhov's Revenge,"动作, 独立, 策略",Frima Studio ,2013年12月9日,21,2 GB,Intel Core 2 Duo E6550 2GHz / AMD Turion II P540 Dual Core 2.4 GHz,9,170
666260,Formless Adventure,"冒险, 独立",Joyous Raccoon ,2017年7月20日,11,2 GB,Intel Core2Duo E7300 @ 2.5 GHz or AMD Athlon II X2 240 @ 2.8 GHz,2,0
230290,Universe Sandbox 2,"休闲, 独立, 模拟, 抢先体验",Giant Army ,2015年8月24日,78,1 GB,1.6GHz dual-core,168,4341
775890,Golf Extreme,"动作, 休闲, 独立, 模拟, 体育",Sergej110 ,2018年1月12日,11,1 GB,1.6 GHz,11,35
692310,REPULSE: Galactic Rivals,"动作, 休闲, 独立, 体育",IronEqual ,2017年11月13日,43,"0,064 MB",Intel 8086 16-bit,2,0
823040,Griefer,"休闲, 独立",Cuberz ,2018年4月20日,6,512 MB,2.0+GHz,3,0
382140,SKYHILL,"动作, 冒险, 休闲, 独立, 角色扮演, 模拟, 策略",Mandragora ,2015年10月6日,59,4 GB,2.2 Ghz Dual Core CPU,19,729
204450,Call of Juarez? Gunslinger,动作,Techland ,2013年5月22日,50,,,305,8576
241910,Goodbye Deponia,"冒险, 独立",Daedalic Entertainment ,2013年10月17日,7,2 GB,2.5 GHz Single Core Processor or 2 GHz Dual Core Processor,19,1055
209080,Guns of Icarus Online,"动作, 冒险, 独立, 模拟",Muse Games ,2012年10月29日,19,,,584,8057
42960,Victoria II,策略,Paradox Development Studio ,2010年8月30日,68,,,200,3468
506090,Switch - Or Die Trying,"冒险, 独立",Threye Interactive ,2017年3月7日,28,2 GB,2.4 GHz +,4,0
279140,Making History: The Great War,"独立, 模拟, 策略","Muzzy Lane Software, Factus Games ",2015年1月29日,88,2 GB,Pentium 4 or better,12,272
449530,Grand Pigeon's Duty,"动作, 冒险, 休闲, 独立, 角色扮演, 模拟",WolfgangIs ,2016年8月5日,18,2048 MB,Intel Core 2 Duo 1.8 Ghz or AMD Athlon X2 64 2.0 Ghz,11,349
239700,Hate Plus,独立,Love Conquers All Games ,2013年8月19日,37,2 GB,1.66 GHz,76,416
231200,Kentucky Route Zero,"冒险, 独立",Cardboard Computer ,2013年2月22日,78,,,208,1175
345820,Shantae and the Pirate's Curse,"动作, 冒险, 独立, 角色扮演",WayForward ,2015年4月23日,68,1 GB,Intel? Pentium 4 2.4 ghz with Hyper Threading,81,746
769330,BAE 2,"休闲, 独立",Riviysky ,2018年1月17日,11,512 MB,,21,0
699700,DYING: Reborn,"冒险, 独立",NEKCOM Entertainment ,2018年1月10日,49,6 GB,Intel Core i3 or equivalent,15,64
523780,Emily is Away Too,"冒险, 休闲, 独立, 角色扮演, 模拟",Kyle Seeley ,2017年5月26日,21,512 MB,Intel,57,2217
409000,Mystery Chronicle: One Way Heroics,角色扮演,"Spike Chunsoft Co., Ltd. ",2016年9月12日,36,2 GB,"Intel(R) Core(TM) 2 Duo 2.4 GHz, or better",10,207
671090,Oik Memory,"休闲, 独立",Dr_Crewcut ,2017年12月29日,6,256 MB,Intel Celeron 1800 MHz,5,56
613010,Secret in Story,"冒险, 独立",Luo Zhi En ,2017年6月19日,6,2 GB,2 GHz,2,52
362680,Fran Bow,"冒险, 独立",Killmonday Games AB ,2015年8月27日,48,2 GB,1.7 GHz Dual Core,88,3405
219200,Droid Assault,"动作, 独立",Puppygames ,2013年1月9日,36,,,15,226
256190,Enemy Front,动作,CI Games ,2014年6月10日,88,3 GB,"Intel Core 2 Duo at 2Ghz, or AMD Athlon 64 x2 2Ghz, or better",27,1661
380,Half-Life 2: Episode One,动作,Valve ,2006年6月1日,32,,,391,4961
